,index,acc,loss,val_acc,val_loss,tr_size,l_iqr,h_iqr,iqr,l_thr,h_thr,min,max
0,0,0.896333333333,0.333352518967,0.9797,0.0689988253492,60000,0.019389658235,0.226649403572,0.207259745337,-0.0842402144335,0.330279276241,0.0100092664361,13.654797554
1,1,0.977683333333,0.0891440515519,0.985,0.0501094451591,60000,0.019389658235,0.226649403572,0.207259745337,-0.0842402144335,0.330279276241,0.0100092664361,13.654797554
2,2,0.984966666667,0.0598465593956,0.9904,0.0327859789337,60000,0.019389658235,0.226649403572,0.207259745337,-0.0842402144335,0.330279276241,0.0100092664361,13.654797554
3,3,0.987916666667,0.0476906341313,0.9882,0.0429155187199,60000,0.019389658235,0.226649403572,0.207259745337,-0.0842402144335,0.330279276241,0.0100092664361,13.654797554
4,4,0.99025,0.0380370424812,0.9928,0.0291107425441,60000,0.019389658235,0.226649403572,0.207259745337,-0.0842402144335,0.330279276241,0.0100092664361,13.654797554
5,5,0.992466666667,0.0293445554109,0.9913,0.0297004805134,60000,0.019389658235,0.226649403572,0.207259745337,-0.0842402144335,0.330279276241,0.0100092664361,13.654797554
6,6,0.993416666667,0.0242614346535,0.9928,0.0270445255092,60000,0.019389658235,0.226649403572,0.207259745337,-0.0842402144335,0.330279276241,0.0100092664361,13.654797554
7,0,0.699797160243,1.13649103033,0.992,0.0269667094563,493,0.0246976944618,0.265833027661,0.241135333199,-0.0958699721377,0.38640069426,0.0100378636271,5.89237070084
8,1,0.807302231237,0.705854855856,0.9926,0.0245456951235,493,0.0246976944618,0.265833027661,0.241135333199,-0.0958699721377,0.38640069426,0.0100378636271,5.89237070084
9,2,0.827586206897,0.586272056488,0.992,0.0285227854946,493,0.0246976944618,0.265833027661,0.241135333199,-0.0958699721377,0.38640069426,0.0100378636271,5.89237070084
10,3,0.864097363083,0.454769321768,0.9921,0.0266072928705,493,0.0246976944618,0.265833027661,0.241135333199,-0.0958699721377,0.38640069426,0.0100378636271,5.89237070084
11,0,0.753026634383,0.732958200841,0.9917,0.0285151603362,413,0.0276919780299,0.18244086951,0.15474889148,-0.0496824677102,0.25981531525,0.0100376829505,7.41504049301
12,1,0.859564164649,0.486331337409,0.9916,0.0303548123436,413,0.0276919780299,0.18244086951,0.15474889148,-0.0496824677102,0.25981531525,0.0100376829505,7.41504049301
13,2,0.893462469734,0.367018844905,0.9917,0.0292582238071,413,0.0276919780299,0.18244086951,0.15474889148,-0.0496824677102,0.25981531525,0.0100376829505,7.41504049301
14,0,0.771739130435,0.660785428046,0.9921,0.0254555822578,276,0.0222373064607,0.142056293786,0.119818987325,-0.0376721872017,0.201965787448,0.010065799579,4.85976457596
15,1,0.880434782609,0.404969351663,0.9913,0.0307584349319,276,0.0222373064607,0.142056293786,0.119818987325,-0.0376721872017,0.201965787448,0.010065799579,4.85976457596
16,2,0.880434782609,0.324991003111,0.9927,0.0266461648585,276,0.0222373064607,0.142056293786,0.119818987325,-0.0376721872017,0.201965787448,0.010065799579,4.85976457596
17,3,0.916666666667,0.251218726508,0.9926,0.0267912571159,276,0.0222373064607,0.142056293786,0.119818987325,-0.0376721872017,0.201965787448,0.010065799579,4.85976457596
18,4,0.960144927536,0.189988091075,0.9924,0.0273717008592,276,0.0222373064607,0.142056293786,0.119818987325,-0.0376721872017,0.201965787448,0.010065799579,4.85976457596
19,0,0.769230769231,0.651456055351,0.9923,0.031733183733,156,0.0317163327709,0.177772469819,0.146056137048,-0.041311735753,0.250800538342,0.0100458711386,3.82703948021
20,1,0.839743589744,0.47328938625,0.9911,0.0329047451936,156,0.0317163327709,0.177772469819,0.146056137048,-0.041311735753,0.250800538342,0.0100458711386,3.82703948021
21,2,0.935897435897,0.263288987848,0.9916,0.0309340919443,156,0.0317163327709,0.177772469819,0.146056137048,-0.041311735753,0.250800538342,0.0100458711386,3.82703948021
22,0,0.862275449102,0.457811739363,0.9903,0.0344201064132,167,0.0185738429427,0.11629261449,0.0977187715471,-0.0302855428308,0.165152000263,0.0100378030911,5.34692287445
23,1,0.934131736527,0.249450717936,0.9912,0.0301142251648,167,0.0185738429427,0.11629261449,0.0977187715471,-0.0302855428308,0.165152000263,0.0100378030911,5.34692287445
24,2,0.928143712575,0.192873989014,0.9925,0.0278720209758,167,0.0185738429427,0.11629261449,0.0977187715471,-0.0302855428308,0.165152000263,0.0100378030911,5.34692287445
25,3,0.988023952096,0.0845459019375,0.9918,0.0297902882374,167,0.0185738429427,0.11629261449,0.0977187715471,-0.0302855428308,0.165152000263,0.0100378030911,5.34692287445
26,4,0.976047904192,0.115990719418,0.992,0.0302819335611,167,0.0185738429427,0.11629261449,0.0977187715471,-0.0302855428308,0.165152000263,0.0100378030911,5.34692287445
27,0,0.733333333333,0.594514840841,0.9921,0.0316263104684,75,0.0287385769188,0.375906050205,0.347167473286,-0.144845159724,0.549489786848,0.0101016834378,5.47100639343
28,1,0.96,0.167851169904,0.988,0.0484657753825,75,0.0287385769188,0.375906050205,0.347167473286,-0.144845159724,0.549489786848,0.0101016834378,5.47100639343
29,2,0.946666666667,0.157705719024,0.9882,0.049446084944,75,0.0287385769188,0.375906050205,0.347167473286,-0.144845159724,0.549489786848,0.0101016834378,5.47100639343
30,0,0.808988764045,0.48732690262,0.9899,0.0449086955147,89,0.0223017558455,0.172647058964,0.150345303118,-0.0528708957136,0.247819710523,0.010284316726,3.53788661957
31,1,0.921348314607,0.230284874317,0.9889,0.0479186807164,89,0.0223017558455,0.172647058964,0.150345303118,-0.0528708957136,0.247819710523,0.010284316726,3.53788661957
