,index,acc,loss,val_acc,val_loss,tr_size,l_iqr,h_iqr,iqr,l_thr,h_thr,min,max
count,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0
mean,2.02564102564,0.887427048181,0.312726798239,0.992475824176,0.0247971022015,3510.37728938,0.0262349487569,0.119733356639,0.0934984078818,-0.020514255184,0.16648256058,0.0104337245185,2.03078931698
std,1.93156873233,0.104065318919,0.184387669145,0.00130067917717,0.00393475212939,13650.8468457,0.0062914473657,0.0713374651593,0.0670476171075,0.0297723649901,0.104810767423,0.000488904152526,2.98095026411
min,0.0,0.5,0.0191828457609,0.9822,0.0193311417629,2.0,0.0169868264347,0.0416464032605,0.0228724563494,-0.0925419214182,0.0530826314352,0.0100013194606,0.0838336497545
25%,1.0,0.833333333333,0.189682692321,0.9922,0.02226308725,8.0,0.0226894970983,0.0556680001318,0.0322485286742,-0.0450559835881,0.0713930551428,0.0100564071909,0.188670411706
50%,2.0,0.903814262023,0.276419252157,0.9927,0.0237616650633,57.0,0.0249774623662,0.101533761248,0.0787957194261,-0.0183975596447,0.139193879208,0.0102631794289,0.714265525341
75%,3.0,0.991283333333,0.411295715719,0.9932,0.0258630597029,324.0,0.0277797635645,0.1794642061,0.14861260727,0.00714100990444,0.254948088899,0.0106984805316,2.60995149612
max,10.0,1.0,1.01810804968,0.9945,0.0539628532654,60000.0,0.0541288256645,0.340017139912,0.285888314247,0.0113436887041,0.482961297035,0.0122332135215,15.328040123
