,index,acc,loss,val_acc,val_loss,tr_size,l_iqr,h_iqr,iqr,l_thr,h_thr,min,max
0,0,0.922516666667,0.252376181241,0.9805,0.0598457156594,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
1,1,0.969566666667,0.105153613416,0.9866,0.0440533998567,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
2,2,0.976366666667,0.0787001930882,0.9885,0.0342732080991,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
3,3,0.980233333333,0.0664668831735,0.9887,0.0303608006349,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
4,4,0.9832,0.0556126387702,0.9911,0.026291895909,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
5,5,0.98495,0.0502645493125,0.9916,0.0232695994132,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
6,6,0.987,0.0444990533061,0.9923,0.0241795525063,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
7,7,0.98745,0.0425976246026,0.9925,0.0229573376664,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
8,8,0.988733333333,0.0372523331842,0.9922,0.0228724040892,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
9,9,0.98965,0.0346107537544,0.9926,0.0215580581719,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
10,10,0.990083333333,0.0319161322531,0.9935,0.0199999414777,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
11,11,0.9901,0.0319120243939,0.993,0.0224260568534,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
12,12,0.991283333333,0.0289516829954,0.9936,0.0206033861549,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
13,13,0.991433333333,0.0279904442066,0.9946,0.0189267683303,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
14,14,0.992333333333,0.0251424639336,0.9936,0.02021882544,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
15,15,0.9925,0.0241793320331,0.9936,0.022716120365,60000,0.0207527223974,0.199534296989,0.178781574592,-0.0686380648986,0.288925084285,0.0100429812446,15.548081398
16,0,0.647169811321,1.06589927538,0.991,0.0271149738278,530,0.054808370769,0.349703937769,0.294895567,-0.0926394127309,0.497151721269,0.010055503808,6.27985239029
17,1,0.711320754717,0.769349532307,0.9918,0.0354166201227,530,0.054808370769,0.349703937769,0.294895567,-0.0926394127309,0.497151721269,0.010055503808,6.27985239029
18,2,0.760377358491,0.646946923913,0.9914,0.0300629709351,530,0.054808370769,0.349703937769,0.294895567,-0.0926394127309,0.497151721269,0.010055503808,6.27985239029
19,3,0.771698113208,0.658727721223,0.992,0.0297496357417,530,0.054808370769,0.349703937769,0.294895567,-0.0926394127309,0.497151721269,0.010055503808,6.27985239029
20,4,0.790566037736,0.567679464255,0.9915,0.0294323923065,530,0.054808370769,0.349703937769,0.294895567,-0.0926394127309,0.497151721269,0.010055503808,6.27985239029
21,5,0.78679245283,0.58143326359,0.99,0.0333808257508,530,0.054808370769,0.349703937769,0.294895567,-0.0926394127309,0.497151721269,0.010055503808,6.27985239029
22,0,0.752179327522,0.641717002,0.9928,0.022025562562,803,0.0512945158407,0.202521555126,0.151227039285,-0.0243190038018,0.278135074768,0.0100357560441,4.99849414825
23,1,0.794520547945,0.553933877503,0.9943,0.019617974604,803,0.0512945158407,0.202521555126,0.151227039285,-0.0243190038018,0.278135074768,0.0100357560441,4.99849414825
24,2,0.824408468244,0.507689318354,0.994,0.0189839116759,803,0.0512945158407,0.202521555126,0.151227039285,-0.0243190038018,0.278135074768,0.0100357560441,4.99849414825
25,3,0.823163138232,0.498609709116,0.9942,0.0192079149631,803,0.0512945158407,0.202521555126,0.151227039285,-0.0243190038018,0.278135074768,0.0100357560441,4.99849414825
26,0,0.781155015198,0.560748052905,0.9934,0.0205329550452,658,0.0476432014257,0.178924173117,0.131280971691,-0.0179972844198,0.244564658962,0.0101937493309,5.35332727432
27,1,0.81914893617,0.493570627503,0.9929,0.0219071997643,658,0.0476432014257,0.178924173117,0.131280971691,-0.0179972844198,0.244564658962,0.0101937493309,5.35332727432
28,2,0.80547112462,0.545843447052,0.993,0.0227364806996,658,0.0476432014257,0.178924173117,0.131280971691,-0.0179972844198,0.244564658962,0.0101937493309,5.35332727432
29,0,0.803827751196,0.52443734396,0.9939,0.0213966126705,627,0.0373484492302,0.14447838068,0.10712993145,-0.0162165164948,0.198043346405,0.0100314812735,3.15706396103
30,1,0.845295055821,0.432013685338,0.994,0.0198847568514,627,0.0373484492302,0.14447838068,0.10712993145,-0.0162165164948,0.198043346405,0.0100314812735,3.15706396103
31,2,0.832535885167,0.437405620228,0.9941,0.0191107523213,627,0.0373484492302,0.14447838068,0.10712993145,-0.0162165164948,0.198043346405,0.0100314812735,3.15706396103
