,acc,val_acc,loss,val_loss
count,209.0,209.0,209.0,209.0
mean,0.707612153726,0.718730622673,0.834878889776,0.807222697092
std,0.0586392673574,0.0401711425586,0.162506021007,0.111337260927
min,0.334239999741,0.470999996364,0.68794002825,0.726568652689
25%,0.694000000954,0.713400001526,0.726680378377,0.742639166713
50%,0.725879999757,0.733000001907,0.782179018021,0.76655028522
75%,0.74512000072,0.742099998593,0.881828186393,0.824799753428
max,0.758199999452,0.747800000906,1.82872248316,1.47649422884
