,acc,val_acc,loss,val_loss
count,154.0,154.0,154.0,154.0
mean,0.707121297837,0.708030517957,0.83798412083,0.833846633526
std,0.0735761798741,0.0541846906159,0.195416786706,0.145702819938
min,0.246280003321,0.344600001335,0.671450590503,0.734314689279
25%,0.69034999513,0.700799993098,0.713503260863,0.751914862722
50%,0.730489998245,0.725799997151,0.775605779612,0.780682626963
75%,0.75183500098,0.739099999845,0.886462354463,0.852593317062
max,0.768240002775,0.746500001907,2.0248419498,1.83195020652
