,acc,val_acc,loss,val_loss
count,39.0,39.0,39.0,39.0
mean,0.984755125747,0.987823074657,0.0508514375799,0.0496631329869
std,0.0213665855429,0.00398044359197,0.0683970859556,0.010530908361
min,0.864133327677,0.968699995458,0.0163227703401,0.0398683598635
25%,0.985074997028,0.987649997711,0.0222843161615,0.0442250134523
50%,0.990716664732,0.989299997747,0.0304922990381,0.0471078709133
75%,0.993008331815,0.989849998057,0.0505635920692,0.0517558027477
max,0.995083332221,0.99019999814,0.429086231372,0.103275960422
