,acc,val_acc,loss,val_loss
count,103.0,103.0,103.0,103.0
mean,0.772472234348,0.727907766519,0.638115775623,0.838378955939
std,0.0620447127993,0.0307636966612,0.176550799499,0.0775430228101
min,0.41731999947,0.513000001371,0.493508824128,0.77630707854
25%,0.75888000133,0.727799998939,0.527811996675,0.803582529664
50%,0.793960001254,0.736999999881,0.574137886494,0.817083615422
75%,0.811000001228,0.741199999034,0.676263405764,0.842587748438
max,0.824120001793,0.747900000215,1.60544430199,1.40495503879
