,index,acc,val_acc,loss,val_loss,batch
0,0,0.925766660263,0.983399997115,0.234233939039,0.0509747322122,1.0
1,1,0.970299994916,0.98629999733,0.102301424344,0.0412220343079,1.0
2,2,0.976716662357,0.98859999764,0.0789491476274,0.0374848611508,1.0
3,3,0.979933329602,0.989999997973,0.0658525742332,0.0325066655959,1.0
4,4,0.982033329805,0.989299997747,0.0604958173697,0.0305422074067,1.0
5,5,0.984716663609,0.991199998319,0.052390332455,0.026555539037,1.0
6,6,0.984716663639,0.991499998152,0.0509133171655,0.0250486919145,1.0
7,7,0.985949997157,0.991299998105,0.0454914468872,0.0271006809341,1.0
8,8,0.986316663861,0.99169999826,0.0441992797703,0.0235175870107,1.0
9,9,0.987366664102,0.992899998486,0.0407353205173,0.0218859272998,1.0
10,10,0.988466664265,0.991199998081,0.0376411738014,0.0279520738353,1.0
11,11,0.988183330943,0.989999997914,0.0388055194291,0.0354091793157,1.0
12,12,0.98886666434,0.993199998438,0.0354736222972,0.0240286606261,1.0
13,13,0.989599997729,0.992999998569,0.0346474686508,0.0252369747211,1.0
14,14,0.990333331178,0.992399998426,0.0315746362014,0.0282350891641,1.0
15,15,0.990766664684,0.992799998522,0.0297085452552,0.0274730748422,1.0
16,16,0.99041666462,0.990199997902,0.0303079420205,0.0315619571652,1.0
17,17,0.990716664732,0.99299999845,0.0300544048838,0.0244144772986,1.0
18,18,0.991616664857,0.992299998343,0.0269994688653,0.0297647456951,1.0
19,19,0.991299998095,0.992399998426,0.0289779423765,0.0265903131781,1.0
20,20,0.991416664789,0.991299998403,0.0270301535763,0.027632877325,1.0
21,21,0.991583331515,0.993399998486,0.0267404092173,0.0254049931111,1.0
22,22,0.992316665024,0.993099998474,0.0241998121301,0.0258140370588,1.0
23,23,0.992333331684,0.99299999851,0.0240613562946,0.0264463390449,1.0
24,24,0.99248333172,0.992399998367,0.0227741589003,0.0257919252648,1.0
25,25,0.992316665004,0.993699998677,0.0243585937828,0.0217652949447,1.0
26,26,0.992283331652,0.99379999876,0.0237130814022,0.0263667348322,1.0
27,27,0.992649998397,0.993299998581,0.022662550281,0.0264757020425,1.0
28,28,0.992616665006,0.992299998522,0.0229527699279,0.0275474704276,1.0
29,29,0.992549998313,0.993599998653,0.0223569217107,0.0295639143806,1.0
30,30,0.992866665095,0.992499998391,0.0219924295279,0.0264927467857,1.0
31,31,0.993449998518,0.994099998593,0.0208139006351,0.0247959940964,1.0
32,32,0.99376666529,0.993999998689,0.019311844329,0.0257727163248,1.0
