,index,acc,loss,val_acc,val_loss
count,134.0,134.0,134.0,134.0,134.0
mean,66.5,0.833247761194,0.499523668999,0.723582089552,0.954435463572
std,38.8265373166,0.104291442881,0.281202630021,0.0428613849919,0.127787969292
min,0.0,0.27652,0.230598420349,0.4363,0.798977151453
25%,33.25,0.79768,0.300668558034,0.732825,0.839818671584
50%,66.5,0.8664,0.410891173258,0.7374,0.932662661999
75%,99.75,0.904685,0.603342752922,0.7392,1.04974190436
max,133.0,0.92828,1.88529015884,0.7425,1.50224260283
