,acc,val_acc,loss,val_loss
count,73.0,73.0,73.0,73.0
mean,0.770781643663,0.699190410598,0.672487556665,0.924484605089
std,0.103079989558,0.0458853744089,0.271596480214,0.0991155274378
min,0.301380000022,0.46279999733,0.390027256227,0.849337357402
25%,0.733819999266,0.700799998641,0.478333862555,0.86739511919
50%,0.800919999838,0.719599999905,0.593878606141,0.891811071754
75%,0.842540000391,0.722299999952,0.779585564113,0.944933156013
max,0.872859998846,0.724799998045,1.83116130991,1.46843362713
