,acc,val_acc,loss,val_loss
count,88.0,88.0,88.0,88.0
mean,0.979461930205,0.985277271021,0.0697147737953,0.0503205535751
std,0.0182963209712,0.00372122608497,0.0583292903388,0.0111521573273
min,0.830866667767,0.961800000191,0.0373696988871,0.0442408938656
25%,0.978908333381,0.985099999428,0.0444426144043,0.045723560382
50%,0.984274999062,0.98629999733,0.0543956621836,0.0464757640055
75%,0.98675832963,0.98709999752,0.0718842036674,0.049941181892
max,0.988733328183,0.988099999428,0.529795668642,0.123439533904
