,index,acc,loss,val_acc,val_loss
0,0,0.915016666667,0.27823360062,0.9776,0.0694836447323
1,1,0.965566666667,0.114533614284,0.9856,0.0435009432049
2,2,0.973266666667,0.0887979483946,0.9876,0.0385488881401
3,3,0.978183333333,0.0716775047453,0.9888,0.0322975856242
4,4,0.9813,0.0634210689944,0.9901,0.0293818104559
5,5,0.983333333333,0.0566112834708,0.9901,0.02918643954
6,6,0.984383333333,0.0529761545091,0.9904,0.026487108851
7,7,0.986433333333,0.0446098925813,0.9907,0.0255073698956
8,8,0.987666666667,0.0414030180997,0.9917,0.0243258016963
9,9,0.9887,0.0373114753105,0.9903,0.0273572579239
10,10,0.988733333333,0.0363420616757,0.9914,0.0251471682703
11,11,0.990216666667,0.0331535553651,0.9917,0.0244062385641
12,12,0.98955,0.0343918463306,0.992,0.0243077041171
13,13,0.990283333333,0.0326338438367,0.9926,0.0216928215879
14,14,0.990983333333,0.0291636659234,0.9929,0.0230300362563
15,15,0.991183333333,0.027990721715,0.9921,0.0235888463924
16,16,0.991666666667,0.0260217465445,0.9923,0.023665980316
17,17,0.99195,0.0262399853774,0.9928,0.0218298801995
18,18,0.9917,0.0247126977922,0.9934,0.0202235619074
19,19,0.9929,0.0219196337157,0.9926,0.0221952781775
20,20,0.992816666667,0.0230709238065,0.9939,0.0207691501698
21,21,0.993133333333,0.0215244786055,0.993,0.021892753635
22,22,0.993166666667,0.0205403523891,0.9938,0.0207923985545
23,23,0.993216666667,0.0199165569881,0.9937,0.0210446344601
24,24,0.994116666667,0.0186997594492,0.9931,0.0203930984827
25,25,0.994016666667,0.0192887543733,0.9932,0.0203371125878
26,26,0.994683333333,0.0179841294674,0.9938,0.0206964335833
27,27,0.994133333333,0.0181577550165,0.9932,0.0219768504034
28,28,0.99445,0.0173293556355,0.9934,0.020481690717
29,29,0.994533333333,0.0179847633519,0.9939,0.0212589557657
30,30,0.994716666667,0.0158749893982,0.9937,0.0220307529249
31,31,0.995016666667,0.0149918842614,0.994,0.0194607847328
32,32,0.995016666667,0.0160096400207,0.994,0.0186239321135
33,33,0.994783333333,0.0158182298487,0.9928,0.0224642161829
34,34,0.99525,0.0144404774659,0.9936,0.0211851030435
35,35,0.99575,0.0132622654458,0.9938,0.0215456966501
