,acc,val_acc,loss,val_loss
count,65.0,65.0,65.0,65.0
mean,0.730095384454,0.72598307684,0.776361023971,0.802807347708
std,0.0863127515168,0.0532442558804,0.236090469521,0.141778049334
min,0.336039999998,0.504300000429,0.576556439161,0.702396356583
25%,0.704180000019,0.719099999428,0.61535915494,0.721199375391
50%,0.759279997921,0.748099999428,0.699369905567,0.744149650574
75%,0.788739999294,0.757900001049,0.850236487675,0.818956473827
max,0.801039999866,0.766299999237,1.81860898437,1.40676231194
