,acc,val_acc,loss,val_loss
count,265.0,265.0,265.0,265.0
mean,0.721403169056,0.729076980117,0.796421674715,0.786034135131
std,0.0537852881425,0.0367074231336,0.15004027929,0.103280011099
min,0.325500000609,0.481899997413,0.659638335049,0.705667199016
25%,0.707279996967,0.724699998498,0.696738394976,0.724732013226
50%,0.737799998045,0.742000000477,0.750313109636,0.750927419662
75%,0.755860000038,0.749999999642,0.842419888306,0.803494629264
max,0.767800003457,0.756300002217,1.85289248347,1.4867804513
