,acc,val_acc,loss,val_loss
count,188.0,188.0,188.0,188.0
mean,0.720175531988,0.71244255304,0.798001699909,0.819467905651
std,0.0708078393791,0.0492669860774,0.189270889315,0.131131272991
min,0.251599999285,0.395599999666,0.633931387615,0.725112953663
25%,0.702714998937,0.706200000882,0.675961187959,0.743894258976
50%,0.743190000868,0.73080000186,0.73736999383,0.769639656782
75%,0.764890000248,0.740125000119,0.849664393401,0.83753137815
max,0.779779999828,0.747699997425,1.9972095459,1.62879147816
