,index,acc,loss,val_acc,val_loss
count,102.0,102.0,102.0,102.0,102.0
mean,50.5,0.809459607843,0.549967829639,0.739952941176,0.874558463617
std,29.588849251,0.08630479619,0.23809224969,0.0395210276299,0.110770972494
min,0.0,0.34684,0.34867019242,0.5053,0.730311573416
25%,25.25,0.79086,0.397108694811,0.7453,0.785756912564
50%,50.5,0.83816,0.467732344642,0.75215,0.866716280878
75%,75.75,0.86287,0.610079862075,0.755975,0.933979460979
max,101.0,0.88096,1.75483748456,0.7614,1.3773681196
