,acc,val_acc,loss,val_loss
count,42.0,42.0,42.0,42.0
mean,0.987336910945,0.992142861094,0.0414483760338,0.0234433463821
std,0.00867618286335,0.00217178666386,0.0293127449317,0.00647033344507
min,0.94019999969,0.983500003338,0.022830545804,0.0190095748388
25%,0.986625007033,0.991800004125,0.0271785158193,0.0200325322104
50%,0.990016673128,0.99290000391,0.0328336786346,0.0210294885299
75%,0.991529172897,0.993400004148,0.0440385554268,0.0234865099941
max,0.992650005976,0.99390000391,0.200018641753,0.0522521124813
