,acc,val_acc,loss,val_loss
count,44.0,44.0,44.0,44.0
mean,0.986591673087,0.992177276178,0.0439260390305,0.023353751003
std,0.00972562888471,0.00221914093784,0.0321095597937,0.00689442552943
min,0.931783333133,0.981800003529,0.0231063655487,0.0193195124155
25%,0.985900007228,0.992200003505,0.0291096716278,0.0200740843069
50%,0.989550007145,0.992800003529,0.034523919967,0.0208419701383
75%,0.990966672858,0.993400003076,0.046350269034,0.0234696105337
max,0.992700006008,0.993800003529,0.222555051165,0.0569963855001
