,acc,val_acc,loss,val_loss
count,70.0,70.0,70.0,70.0
mean,0.739724857021,0.730798571406,0.729727886132,0.804311607074
std,0.0688161439576,0.0368571569636,0.197476406107,0.0953680892458
min,0.414339998946,0.53919999826,0.548906227279,0.740792642117
25%,0.721350000817,0.729249999523,0.594510313836,0.761344197273
50%,0.763179999638,0.741649999738,0.661655963284,0.776176277339
75%,0.784710000277,0.75072500062,0.793942069924,0.800739800543
max,0.802239999485,0.760100000143,1.61426501617,1.32189995813
