,acc,val_acc,loss,val_loss
count,72.0,72.0,72.0,72.0
mean,0.759971390019,0.736945833147,0.672058239395,0.786427920477
std,0.0719345377202,0.0354325782717,0.206883615914,0.0881322123856
min,0.41521999957,0.547500001788,0.488476064867,0.72924380815
25%,0.739860000116,0.734924998254,0.529884409757,0.741925406232
50%,0.785050001287,0.749600000262,0.597342010325,0.758153088957
75%,0.808610002375,0.756824999243,0.737103879458,0.781438321188
max,0.821820001721,0.763299999475,1.61202908621,1.27241597593
