,acc,val_acc,loss,val_loss
count,57.0,57.0,57.0,57.0
mean,0.987439178015,0.992419294276,0.0408814340083,0.0229000556061
std,0.0103885106292,0.00253880168829,0.0342460915903,0.0076417971241
min,0.919433329773,0.980699994564,0.0220830988759,0.018260796923
25%,0.987433328132,0.99209999764,0.0257861761229,0.0188961063909
50%,0.990433329622,0.993399996638,0.0312044185693,0.0201314066605
75%,0.991666665077,0.9938999964,0.0419272897298,0.0232825493285
max,0.993016666055,0.994599994898,0.261901666467,0.0620445762479
